,,0,0,0,0,0,0
Hydra,Pluto,0.000432493,0.006,8.02782e-09,0.00290378,330.6,143.4
Charon,Pluto,0.000131018,0,0.00026562,0.0951185,192.4,0
Neso,Neptune,0.334536,0.447,0,0,123.2,338.3
Sao,Neptune,0.14961,0.299,0,0,179.6,90.9
Hippocamp,Neptune,0.000703887,0.001,0,0,286.5,346.4
Proteus,Neptune,0.000786107,0,6.48101e-06,0.0326479,276.8,0
Galatea,Neptune,0.000414444,0,4.76401e-07,0.0123999,86.7,0
Despina,Neptune,0.000350941,0,2.9284e-07,0.0116151,125.1,0
Ferdinand,Uranus,0.138023,0.397,0,0,256.7,79.1
Trinculo,Uranus,0.0568524,0.219,0,0,88.5,130.1
Caliban,Uranus,0.0483296,0.204,0,0,224.9,8.3
Cupid,Uranus,0.000497333,0.005,0,0,160.6,13.5
Mab,Uranus,0.000653084,0.003,0,0,348,237.9
Perdita,Uranus,0.000510702,0.002,0,0,32.2,310.4
Belinda,Uranus,0.000503349,0,0,0,121.3,0
Rosalind,Uranus,0.000467253,0,0,0,79.4,0
Juliet,Uranus,0.000430487,0.001,0,0,124.8,291.5
Cressida,Uranus,0.000413107,0,0,0,332.8,0
Bianca,Uranus,0.000395728,0.001,0,0,236.2,97
Cordelia,Uranus,0.000332892,0,0,0,95,0
Puck,Uranus,0.000574874,0,0,0,174.5,0
Miranda,Uranus,0.000868328,0.001,1.07874e-05,0.0370115,72.4,155.6
Ophelia,Uranus,0.000359631,0.011,0,0,280.5,344.3
Titania,Uranus,0.00291649,0.001,0.000569223,0.123827,53.2,202
Ariel,Uranus,0.00127609,0.001,0.000209476,0.0908649,119.8,83.3
S2019_s01,Saturn,0.0751749,0.463,0,0,36.6,86.6
Portia,Uranus,0.000441851,0,0,0,343.7,0
S2007_s02,Saturn,0.111753,0.179,0,0,84.1,57.7
S2006_s03,Saturn,0.149922,0.379,0,0,167.1,188.7
S2004_s39,Saturn,0.155089,0.102,0,0,98,199.8
S2004_s38,Saturn,0.148839,0.541,0,0,101.4,346.6
S2004_s36,Saturn,0.15668,0.617,0,0,138.8,204.4
S2004_s33,Saturn,0.157629,0.514,0,0,128.3,309.7
S2004_s29,Saturn,0.114106,0.488,0,0,183.8,318.9
S2004_s28,Saturn,0.146011,0.161,0,0,95.9,186.6
S2004_s26,Saturn,0.174515,0.147,0,0,153.2,151.7
S2004_s24,Saturn,0.156058,0.072,0,0,289.6,181
S2004_s22,Saturn,0.137689,0.216,0,0,102.8,118.9
S2007_s03,Saturn,0.126593,0.185,0,0,292.7,111.9
S2004_s21,Saturn,0.154621,0.409,0,0,187.5,182
S2004_s27,Saturn,0.132689,0.157,0,0,268.1,142.7
S2004_s20,Saturn,0.128738,0.182,0,0,122.5,290.1
S2004_s17,Saturn,0.130002,0.18,0,0,228.5,180.8
S2004_s13,Saturn,0.123037,0.259,0,0,41.1,346.2
S2004_s07,Saturn,0.140376,0.529,0,0,79.8,84
Tarqeq,Saturn,0.120069,0.168,0,0,161,34.8
Greip,Saturn,0.123377,0.315,0,0,314.5,152.2
Jarnsaxa,Saturn,0.129373,0.218,0,0,198.7,237.4
Surtur,Saturn,0.153351,0.446,0,0,136.2,303.7
Skoll,Saturn,0.118097,0.464,0,0,45,193.1
Psamathe,Neptune,0.312181,0.451,0,0,70.2,261.3
Kari,Saturn,0.147683,0.476,0,0,286,163.9
Margaret,Uranus,0.0940521,0.678,0,0,119.9,90.4
Hyrrokkin,Saturn,0.123264,0.336,0,0,291.8,273.1
S2004_s37,Saturn,0.106586,0.446,0,0,185.9,77.2
Eirene,Jupiter,0.154119,0.258,0,0,329.7,94.8
S2006_s01,Saturn,0.125537,0.141,0,0,96.6,155
S2017_j3,Jupiter,0.139982,0.231,0,0,193.3,92.9
Nereid,Neptune,0.036792,0.749,0,0.0266834,318,290.3
Chaldene,Jupiter,0.153281,0.265,0,0,266.2,335
S2011_j2,Jupiter,0.153139,0.355,0,0,284,218.7
S2010_j1,Jupiter,0.155014,0.252,0,0,161.1,344.2
Stephano,Uranus,0.0535034,0.218,0,0,190.2,352.6
Eukelade,Jupiter,0.154196,0.277,0,0,203.6,283.7
Aoede,Jupiter,0.158947,0.436,0,0,198.8,72.9
Hegemone,Jupiter,0.156076,0.358,0,0,233.7,282.2
S2003_j23,Jupiter,0.159289,0.313,0,0,168.5,163.2
Enceladus,Saturn,0.00159361,0.005,1.80886e-05,0.0395699,57,119.5
S2004_s35,Saturn,0.146827,0.237,0,0,320.2,154.2
Kale,Jupiter,0.154097,0.262,0,0,212.7,283.6
Pallene,Saturn,0.00141914,0.004,0,0,2,194.9
Sponde,Jupiter,0.157377,0.322,0,0,173.8,184.9
Calypso,Saturn,0.00197195,0.001,0,0,-0,221.6
Euporie,Jupiter,0.128784,0.148,0,0,72.2,329.8
Phobos,Mars,6.28351e-05,0.015,1.77791e-09,0.00173913,189.6,216.3
Carme,Jupiter,0.154711,0.256,0,0,234,155
Euanthe,Jupiter,0.13922,0.239,0,0,336.5,169.8
Francisco,Uranus,0.0286301,0.139,0,0,129.5,297.3
S2016_j2,Jupiter,0.124963,0.217,0,0,57.6,344.2
Laomedeia,Neptune,0.157809,0.418,0,0,248.3,146
S2017_j6,Jupiter,0.155385,0.336,0,0,150.2,100
Thelxinoe,Jupiter,0.140216,0.228,0,0,267.9,333.4
Aitne,Jupiter,0.154176,0.277,0,0,106,81.3
Hermippe,Jupiter,0.141102,0.219,0,0,134.7,356.6
Pasithee,Jupiter,0.152721,0.27,0,0,216,295.2
Larissa,Neptune,0.000491317,0.001,6.39315e-07,0.0150683,165.5,247.3
Sycorax,Uranus,0.0814183,0.521,0,0,146.2,211.4
Deimos,Mars,0.000157088,0,2.41336e-10,0.00097316,205,0
Fornjot,Saturn,0.168091,0.208,0,0,214.5,324.8
Naiad,Neptune,0.000322197,0,2.13992e-08,0.00455188,89.7,0
Janus,Saturn,0.00101271,0.007,3.17651e-07,0.0140009,111.7,11.1
S2003_j18,Jupiter,0.13594,0.09,0,0,66.1,304.4
Magaclite,Jupiter,0.158054,0.421,0,0,138.1,85.1
Triton,Neptune,0.00237169,0,0.00358366,0.212306,63,0
Himalia,Jupiter,0.0764757,0.16,3.80192e-07,0.0133417,66.5,328.4
Halimede,Neptune,0.105307,0.566,0,0,173.9,113.5
Orthosie,Jupiter,0.139715,0.299,0,0,200.7,140.1
Leda,Jupiter,0.0745091,0.162,0,0,233.4,270.9
Adrastea,Jupiter,0.000862312,0,3.51217e-10,0.00128708,214.5,0
Helike,Jupiter,0.139813,0.153,0,0,44.2,118.1
Loge,Saturn,0.15414,0.186,0,0,337.2,32.8
Skathi,Saturn,0.104514,0.272,0,0,114.7,203.5
Bebhionn,Saturn,0.114413,0.468,0,0,168,358.1
