Ceres,2.766,0.0785,939.4,291.38,73.64,1
Pallas,2.771,0.2300,513,272.48,310.70,2
Juno,2.669,0.2569,246.596,261.30,247.94,3
Vesta,2.361,0.0882,525.4,7.03,151.09,4
Astraea,2.575,0.1901,106.699,160.98,358.74,5
Hebe,2.426,0.2031,185.18,347.50,239.51,6
Iris,2.387,0.2295,199.83,47.64,145.34,7
Flora,2.202,0.1561,147.491,136.26,285.55,8
Metis,2.385,0.1236,190,184.56,6.16,9
Hygiea,3.142,0.1116,407.12,328.90,312.49,10
Parthenope,2.453,0.0995,142.887,175.42,195.60,11
Victoria,2.334,0.2207,115.087,49.75,69.67,12
Egeria,2.577,0.0854,202.636,66.24,80.15,13
Irene,2.586,0.1659,152,42.04,97.71,14
Eunomia,2.644,0.1866,231.689,152.50,98.63,15
Psyche,2.924,0.1339,226,125.13,229.22,16
Thetis,2.471,0.1329,84.899,197.57,135.81,17
Melpomene,2.296,0.2179,139.594,190.37,228.12,18
Fortuna,2.443,0.1570,200,95.09,182.47,19
Massalia,2.409,0.1431,135.680,20.51,257.56,20
Lutetia,2.435,0.1635,95.76,243.38,250.16,21
Kalliope,2.91,0.0984,167.536,33.48,357.60,22
Thalia,2.63,0.2327,107.53,207.14,60.99,23
Themis,3.142,0.1224,198,171.96,107.60,24
Phocaea,2.399,0.2550,61.054,78.04,90.25,25
Proserpina,2.655,0.0894,94.80,333.30,193.66,26
Euterpe,2.348,0.1721,96,249.69,356.26,27
Bellona,2.775,0.1515,120.90,126.85,343.83,28
Amphitrite,2.554,0.0734,189.559,165.88,63.09,29
Urania,2.366,0.1277,92.787,300.48,87.00,30
Euphrosyne,3.164,0.2179,267.080,262.86,61.56,31
Pomona,2.587,0.0817,80.76,269.62,338.68,32
Polyhymnia,2.875,0.3317,52.929,184.13,338.49,33
Circe,2.687,0.1066,132.992,351.03,330.22,34
Leukothea,2.993,0.2248,103.055,45.45,213.46,35
Atalante,2.747,0.3056,132.842,156.20,47.78,36
Fides,2.641,0.1759,108.35,211.33,62.62,37
Leda,2.742,0.1531,92.255,222.44,169.20,38
Laetitia,2.77,0.1117,179.484,155.00,209.54,39
Harmonia,2.267,0.0465,111.251,37.30,268.65,40
Daphne,2.761,0.2746,205.495,349.11,45.92,41
Isis,2.442,0.2227,110.997,101.85,237.18,42
Ariadne,2.203,0.1688,71.340,79.28,16.31,43
Nysa,2.423,0.1489,70.64,342.99,344.19,44
Eugenia,2.721,0.0836,202.327,258.63,87.66,45
Hestia,2.525,0.1728,131.471,315.63,177.35,46
Aglaja,2.882,0.1301,168.174,253.30,315.06,47
Doris,3.115,0.0706,216.473,250.21,251.98,48
Pales,3.098,0.2215,166.252,60.40,113.11,49
Virginia,2.65,0.2852,84.074,27.20,199.90,50
Nemausa,2.366,0.0676,138.159,7.67,1.91,51
Europa,3.095,0.1108,303.918,58.66,343.14,52
Kalypso,2.619,0.2025,97.262,295.87,314.09,53
Alexandra,2.712,0.1970,160.120,238.89,345.18,54
Pandora,2.759,0.1438,84.794,215.91,5.42,55
Melete,2.596,0.2380,121.333,122.30,104.93,56
Mnemosyne,3.157,0.1099,112.59,319.48,210.36,57
Concordia,2.702,0.0436,106.517,157.83,33.45,58
Elpis,2.713,0.1173,165.119,20.11,210.67,59
Echo,2.392,0.1850,43.218,114.90,271.10,60
Danae,2.984,0.1648,85.937,103.20,12.66,61
Erato,3.13,0.1679,106.921,56.90,277.36,62
Ausonia,2.396,0.1274,116.044,45.15,296.22,63
Angelina,2.681,0.1256,58.292,260.96,180.67,64
Cybele,3.433,0.1141,237.26,55.63,103.43,65
Maja,2.645,0.1733,71.82,248.43,43.75,66
Asia,2.422,0.1848,56.309,180.09,107.02,67
Leto,2.783,0.1850,122.509,113.81,304.61,68
Hesperia,2.975,0.1702,138.13,133.30,288.91,69
Panopaea,2.615,0.1806,127.911,303.07,255.66,70
Niobe,2.757,0.1749,83.42,119.07,267.19,71
Feronia,2.266,0.1205,74.966,295.40,103.13,72
Klytia,2.664,0.0418,44.590,20.26,55.41,73
Galatea,2.782,0.2361,118.71,127.08,174.66,74
Eurydike,2.675,0.3036,62.377,187.07,339.44,75
Freia,3.414,0.1663,145.423,80.60,252.14,76
Frigga,2.668,0.1330,61.390,149.59,61.67,77
Diana,2.622,0.2058,120.60,190.69,152.85,78
Eurynome,2.445,0.1903,63.479,126.14,201.54,79
Sappho,2.296,0.2002,68.563,20.84,139.49,80
Terpsichore,2.852,0.2114,117.727,191.82,51.53,81
Alkmene,2.764,0.2205,57.621,30.43,111.05,82
Beatrix,2.434,0.0812,110.503,128.78,169.32,83
Klio,2.362,0.2364,79.16,18.91,15.04,84
Io,2.652,0.1942,154.79,89.11,122.82,85
Semele,3.106,0.2158,109.929,171.86,308.87,86
Sylvia,3.48,0.0940,253.051,244.12,263.93,87
Thisbe,2.769,0.1618,232,262.59,36.53,88
Julia,2.55,0.1847,145.483,19.81,45.04,89
Antiope,3.147,0.1668,115.974,321.32,245.17,90
Aegina,2.59,0.1069,103.402,43.15,74.39,91
Undina,3.191,0.1060,126.42,353.89,238.23,92
Minerva,2.755,0.1389,154.155,332.17,275.17,93
Aurora,3.158,0.0947,204.89,124.73,60.22,94
Arethusa,3.063,0.1532,147.969,258.17,153.66,95
Aegle,3.049,0.1414,177.774,289.86,208.23,96
Klotho,2.668,0.2577,100.717,177.22,268.57,97
Ianthe,2.688,0.1875,132.788,349.69,158.49,98
Dike,2.665,0.1961,67.354,110.80,195.74,99
Hekate,3.087,0.1691,85.734,68.70,183.81,100
Helena,2.584,0.1412,65.84,350.74,348.31,101
Miriam,2.663,0.2511,82.595,117.99,147.16,102
Hera,2.703,0.0792,83.908,216.40,189.04,103
Klymene,3.147,0.1613,136.553,95.05,31.70,104
Artemis,2.374,0.1776,94.864,75.70,57.27,105
Dione,3.18,0.1593,207.869,37.30,331.31,106
Camilla,3.488,0.0650,210.370,118.56,305.68,107
Hecuba,3.248,0.0574,75.498,139.01,210.23,108
Felicitas,2.695,0.2995,82.588,114.65,57.59,109
Lydia,2.732,0.0802,86.09,66.29,282.00,110
Ate,2.593,0.1025,126.344,300.55,168.17,111
Iphigenia,2.433,0.1284,69.818,328.54,17.33,112
Amalthea,2.376,0.0862,50.137,45.18,78.63,113
Kassandra,2.676,0.1380,94.178,286.43,352.75,114
Thyra,2.38,0.1932,79.83,285.60,96.87,115
Sirona,2.766,0.1415,71.70,76.63,94.27,116
Lomia,2.991,0.0241,208.974,339.88,50.93,117
Peitho,2.436,0.1646,40.211,209.55,33.18,118
Althaea,2.581,0.0813,57.30,228.52,171.45,119
Lachesis,3.117,0.0515,155.132,52.70,234.25,120
Hermione,3.454,0.1263,209.00,13.21,296.80,121
Gerda,3.223,0.0307,70.676,144.69,321.05,122
Brunhild,2.694,0.1209,45.209,182.99,125.45,123
Alkeste,2.632,0.0766,88.648,84.63,62.61,124
Liberatrix,2.744,0.0783,48.418,20.67,110.34,125
Velleda,2.439,0.1055,44.82,100.19,327.99,126
Johanna,2.754,0.0666,122,140.36,93.12,127
Nemesis,2.749,0.1281,162.515,288.58,303.46,128
Antigone,2.867,0.2130,113,143.16,110.83,129
Elektra,3.127,0.2093,180.652,124.07,237.62,130
Vala,2.433,0.0675,31.337,88.46,161.23,131
Aethra,2.61,0.3889,42.87,146.28,255.34,132
Cyrene,3.064,0.1348,72.175,323.13,290.25,133
Sophrosyne,2.563,0.1146,108,349.52,85.34,134
Hertha,2.429,0.2069,79.24,238.35,340.31,135
Austria,2.287,0.0847,36.893,142.31,132.55,136
Meliboea,3.126,0.2117,128.678,217.38,107.53,137
Tolosa,2.449,0.1623,52.905,142.97,260.57,138
Juewa,2.783,0.1739,151.116,124.98,165.82,139
Siwa,2.734,0.2141,109.79,276.34,196.95,140
Lumen,2.665,0.2136,117.916,25.99,57.64,141
Polana,2.419,0.1346,54.812,305.32,291.72,142
Adria,2.762,0.0736,95.377,296.18,252.15,143
Vibilia,2.654,0.2354,142.38,235.13,294.65,144
Adeona,2.671,0.1464,127.783,323.38,45.25,145
Lucina,2.719,0.0665,160.310,279.42,145.54,146
Protogeneia,3.135,0.0231,132.93,86.65,101.77,147
Gallia,2.77,0.1879,97.75,217.82,252.66,148
Nuwa,2.985,0.1236,119.128,158.16,153.75,150
Abundantia,2.591,0.0353,39.037,251.83,133.36,151
Atala,3.14,0.0815,58.964,47.70,59.00,152
Hilda,3.977,0.1400,170.63,299.21,39.33,153
Bertha,3.198,0.0765,192.611,108.35,161.39,154
Scylla,2.762,0.2727,39.605,303.47,46.59,155
